additional_options_id_additional_options,trips_id_trips
1728,4117
4223,6549
4330,3062
8642,3506
2057,9204
7156,7899
628,959
5168,4015
1831,526
2120,10090
7871,614
9952,2825
1816,4309
3721,8887
704,6620
8101,5703
3606,9662
1841,4212
5455,221
1429,2210
2909,4025
1613,6614
3845,331
9805,3944
2560,6389
503,3886
2735,3855
6499,2291
3377,9369
6407,306
9609,9848
3642,3488
3444,9978
4192,9074
3970,5411
7780,3695
6144,9426
8798,3221
3245,5612
1273,8477
9731,3745
4889,1520
127,7866
8171,7841
241,7161
7684,7011
629,1489
1084,6610
8927,5543
5033,5198
7648,1455
3148,2261
3657,514
4911,7846
4301,8106
5480,1713
5097,6517
4297,1477
539,1889
403,2661
5140,3722
9263,8327
2116,8026
2375,1840
4152,255
1017,5230
5949,9864
7726,6656
3742,7873
6030,298
6170,4346
3642,8374
9612,6137
6041,7462
7294,2922
7375,253
10047,5178
8561,3385
1514,3406
8511,8917
3465,8818
4947,7700
5860,5877
9970,4662
1420,2402
8874,9249
6471,1082
609,7503
1898,4474
8448,5695
8580,8287
3937,1505
9783,5450
7449,3094
1345,4718
7793,6345
1527,6073
10054,2070
1243,7691
2801,2708
7311,1663
4517,4394
8831,4945
7783,1437
7640,7545
5357,9852
609,1587
5811,3998
5304,8354
6115,7253
7426,4441
9901,2988
161,4134
6497,2673
3159,2657
5271,581
10068,2056
2269,5516
3367,678
1540,7597
7262,5472
7731,8574
7449,6559
5919,10110
3604,5218
1514,7864
3291,7510
3664,578
5497,3783
6066,3581
6223,9525
6985,8954
9318,2582
1483,646
1716,9669
8211,4818
3099,9339
2384,2204
139,370
7878,5488
6081,4702
7567,5966
4476,3377
6770,7902
2543,4602
100,9803
6490,1567
9337,3510
2286,8468
2916,226
9739,9413
8985,5000
8100,3507
1507,8156
3753,6216
7635,4540
1496,1742
6250,8566
4739,8180
1349,4376
6117,328
4202,4171
7077,1079
6424,5345
1027,2247
4344,3794
3860,929
8139,9124
7676,10033
5214,8989
636,8308
8831,5004
3138,8668
6001,7026
9115,6833
7802,5463
9636,7733
983,3040
7507,8256
6074,9012
2728,7376
5790,5541
8177,9114
6184,6536
6264,4889
2159,2609
2992,2512
535,570
1848,2770
7848,2425
9859,9515
9975,10015
2396,3766
7294,6734
8671,6314
821,8190
5149,8845
5333,6158
3474,9274
362,7189
4372,3533
9302,8978
503,4339
5321,8850
6171,3389
4617,9339
10029,7459
5382,4548
2997,2349
7118,6212
4913,4065
9747,2655
3899,5081
3838,1448
3020,1897
3339,1395
5340,7225
7765,3579
4803,697
7096,4508
10020,1157
485,5158
5514,3605
5040,5904
1353,6478
9602,2791
4934,7358
5613,1030
643,5464
2368,9622
4997,2396
5437,4199
6972,6365
5941,4496
634,8489
3015,10114
1392,7274
612,8764
1276,6751
809,6695
3118,1142
2663,6704
844,4192
6542,1995
7818,3822
4422,8773
8359,4116
5233,6623
7802,6535
9614,3061
8949,2533
9665,4818
6989,585
4335,10083
1651,10051
4963,1955
1911,6099
1989,5574
5497,9776
1196,3698
9042,385
5513,903
9886,550
6331,5090
3416,5842
4949,9431
4245,373
3115,7687
4467,7128
8653,4616
8970,8746
4157,3229
8018,1354
8267,3650
8141,7602
1987,6005
5643,4511
1921,4111
5303,5397
370,8316
9527,2520
2112,1012
1781,7632
7377,9248
422,3089
8360,2211
9195,5265
9103,535
6308,3209
3689,5518
5313,2873
8517,9891
8648,901
3823,2542
8339,2775
397,1518
3372,1180
2584,3356
6833,4467
6767,3197
4415,2980
8028,7504
9366,4671
7914,1499
2653,8016
1281,1960
8188,7316
2254,6902
4354,5204
7449,971
7487,9836
3088,4038
7211,609
1115,8542
7697,8344
9593,4671
1606,8781
7615,8051
7395,5581
984,6920
3208,6260
655,3728
1068,2998
2727,6716
2877,8931
7291,595
6351,6897
3218,3774
409,6028
7370,4995
9878,1449
5982,4776
9208,9335
2747,6252
4232,7739
295,7740
431,6445
230,2076
9204,6280
2666,653
7073,4111
3683,5966
1058,2744
5293,2136
1010,8405
2947,5317
4119,432
9561,6540
3945,8015
6921,8308
1302,2029
4998,5020
8137,9601
5666,2377
658,10038
1843,6657
5116,9259
2360,1251
3289,5954
4521,2226
5361,6164
8824,3818
4236,966
3741,8866
5849,7760
8535,2156
9273,7371
5267,4219
9366,5770
1592,6892
9435,9532
9953,4985
2716,10114
9695,1172
793,6841
8575,364
3405,9454
2791,5944
5797,3439
2913,1644
3340,7420
682,4925
1445,9690
3914,5631
3821,9265
3332,5488
8912,4604
9052,6829
5607,1142
8846,6957
2200,7697
272,9901
2684,234
1109,4302
1064,9841
8988,9264
7719,270
2193,258
2209,8679
2251,818
7499,7227
5166,1403
9180,9695
435,7388
4517,298
357,3054
7012,2025
8636,1512
7857,6793
5549,7439
396,2207
6881,6163
9403,5951
9914,9485
5809,724
5507,8106
5799,4138
3975,9711
2107,7141
5932,649
467,8103
7159,4137
4165,10136
7633,5127
1771,9435
7214,3719
2856,8112
1274,3616
5286,5896
5061,7957
2670,1189
7486,7663
3378,4333
5888,920
8933,10120
1264,8111
9302,5357
2215,4340
8086,6196
4073,6411
3500,2217
9189,651
3196,6643
6349,7362
9229,1018
704,5105
216,920
706,5434
3204,2568
4197,4296
1452,8316
7381,1337
2792,9731
6822,5998
6495,8656
2872,5517
9372,5106
3702,6665
4577,809
