id_contracts,taxi_companies_id_taxi_companies,autos_id_autos,taxi_drivers_id_taxi_drivers,entry_date,end_date
200,1978,6271,5329,2019-10-16,2023-08-09
201,7135,6182,8733,2007-06-07,2022-12-31
202,4527,4489,3436,2008-12-27,2025-10-14
203,8264,6189,1480,2007-12-13,2025-06-27
204,9848,6337,9599,2016-01-08,2026-12-09
205,6549,9806,4217,2014-09-27,2024-04-03
206,4212,8541,4740,2009-07-11,2025-10-20
207,3473,983,8964,2015-11-02,2023-05-18
208,3025,2047,297,2007-03-19,2022-12-25
209,2952,9345,276,2016-12-31,2025-09-22
210,2075,9372,9512,2016-10-11,2025-04-18
211,2768,5014,7057,2013-05-22,2029-07-31
212,9152,1988,1179,2022-01-24,2022-10-14
213,5713,6355,3676,2013-08-11,2022-09-23
214,8642,925,9390,2009-10-14,2023-06-29
215,7758,8262,9020,2016-01-25,2024-02-14
216,7571,6548,4545,2016-10-09,2023-12-03
217,9452,3710,9360,2009-02-19,2025-05-11
218,963,7075,2015,2009-06-13,2025-11-25
219,9810,8849,4165,2019-09-04,2024-03-09
220,8834,2010,3244,2021-08-14,2028-04-14
221,3387,8455,9039,2021-08-09,2023-05-21
222,5158,1553,2274,2021-04-26,2027-12-14
223,4048,759,7097,2012-01-09,2025-08-11
224,7695,199,6870,2018-10-10,2029-10-31
225,548,1004,1420,2010-04-08,2029-06-27
226,6403,722,389,2020-07-17,2023-11-13
227,6223,3682,6748,2018-09-06,2024-03-18
228,5153,6878,9891,2011-05-05,2023-03-27
229,1023,1048,2246,2021-07-13,2025-05-18
230,8387,9457,9910,2020-10-17,2027-09-16
231,4634,8791,3652,2018-02-14,2027-10-15
232,8990,7396,8414,2015-10-12,2024-03-09
233,5821,4728,1875,2010-06-17,2025-09-27
234,6319,9322,9488,2020-07-24,2023-12-26
235,3189,338,3748,2010-04-21,2027-01-13
236,2220,7881,9467,2016-11-22,2028-08-27
237,10024,7443,2626,2009-11-27,2028-01-06
238,5709,1603,851,2014-07-04,2027-10-13
239,4610,1474,1506,2012-03-21,2026-08-15
240,2096,1772,1447,2007-02-20,2023-04-11
241,9737,8918,9537,2012-12-15,2028-01-25
242,4061,844,3322,2018-09-18,2028-06-03
243,985,8509,1964,2017-08-07,2025-12-03
244,4544,9773,6338,2021-03-09,2022-08-09
245,4268,5659,3455,2010-04-20,2022-08-02
246,6603,459,3277,2011-01-11,2023-07-19
247,7810,2820,7136,2009-05-17,2026-05-22
248,7786,1135,4936,2014-11-28,2023-07-24
249,6486,5508,1891,2015-08-08,2026-07-18
250,8374,5490,7622,2014-09-01,2023-04-01
251,3311,4784,7861,2014-08-28,2024-10-27
252,218,3775,4361,2016-11-08,2025-04-16
253,1840,6514,950,2017-03-24,2022-07-16
254,5683,8968,6348,2009-08-12,2028-06-03
255,9121,2380,7081,2009-05-31,2027-01-21
256,3681,1491,7300,2018-10-19,2023-04-05
257,7886,9484,8752,2016-04-30,2022-10-20
258,6768,3139,1944,2011-01-27,2025-01-25
259,8558,941,9429,2021-07-05,2026-08-31
260,4460,6402,1633,2021-05-26,2024-04-24
261,9155,4184,9822,2016-06-11,2026-05-12
262,6335,144,9911,2019-02-27,2029-04-02
263,2545,6135,6947,2019-01-28,2023-01-30
264,8032,6356,2315,2020-06-13,2026-03-18
265,1087,3244,5090,2009-02-23,2025-05-30
266,9244,7956,1557,2016-06-09,2029-04-26
267,1104,171,1722,2018-11-01,2029-05-26
268,1326,9103,4674,2021-06-16,2025-07-30
269,8956,9997,4805,2017-11-29,2029-11-17
270,7604,9093,5740,2009-01-25,2028-05-08
271,8494,7532,2140,2015-02-27,2024-11-22
