id_forms_of_payment,name
100,Muscat
101,Shanghai
102,Conakry
103,Málaga
104,Linz
105,Praia
106,Ibadan
107,The Valley
108,Vienna
109,Porto Velho
110,Iloilo City
111,Abuja
112,Quito
113,Rio de Janeiro
114,Manzini
115,Kano
116,Cork (city)
117,Chaguanas
118,Rio Branco
119,Wichita
120,Nashville
121,Gibraltar
122,Weno
123,Graz
124,Gibraltar
125,Bamako
126,Mecca
127,Maseru
128,Mandurah
129,Canberra
130,Los Angeles
131,Frankfurt
132,Yekaterinburg
133,Monaco
134,Palembang
135,St. George's
136,Cleveland
137,Gothenburg
138,Ho Chi Minh City
139,Winnipeg
140,La Paz
141,Changchun
142,Buenos Aires
143,Hyderabad
144,Luxembourg (city)
145,Skopje
146,Port Vila
147,Conakry
148,Adamstown
149,Jaipur
150,Kinshasa
151,Graz
152,Wichita
153,Sana'a
154,Marrakech
155,Jacksonville
156,Istanbul
157,Recife
158,Saskatoon
159,Philadelphia
160,Porto
161,Strasbourg
162,St. John's
163,Mexico City
164,Honiara
165,Shigatse
166,South Tarawa
167,Warsaw
168,Zürich
169,St. John's
170,Odessa
171,San Juan
172,Turin
173,Conakry
174,Thimphu
175,Lhasa
176,Bangalore
177,Anchorage
178,Oranjestad
179,Lusaka
180,Norilsk
181,London
182,Whitehorse
183,South Tarawa
184,Baltimore
185,Arbil
186,Yogyakarta (city)
187,Sukhumi
188,Cincinnati
189,Basse-Terre
190,Belém
191,San Antonio
192,Canberra
193,Vientiane
194,Birkirkara
195,Mumbai
196,Gold Coast
197,Rockhampton
198,Vitória
199,Manzini
200,Cardiff
201,Namangan
202,Perm
203,Marseille
204,St. Louis
205,Quito
206,Bulawayo
207,Zapopan
208,City of San Marino
209,Stockholm
210,Jersey City
211,Libreville
212,Mamoudzou
213,Düsseldorf
214,Basse-Terre
215,Asmara
216,Rochester
217,Palembang
218,Manama
219,Thimphu
220,Alor Star
221,Ponta Delgada
222,Vancouver
223,Antofagasta
224,Aarhus
225,Kraków
226,Stockholm
227,Kinshasa
228,Medan
229,Asmara
230,Winnipeg
231,Port of Spain
232,Honolulu
233,Roseau
234,Dammam
235,Bamako
236,Iquique
237,Whitehorse
238,Bangui
239,São José dos Campos
240,Mersin
241,Zagreb
242,Abuja
243,Chuí
244,Asunción
245,Porto Velho
246,Birkirkara
247,Ciudad del Este
248,Tijuana
249,Philadelphia
250,Tórshavn
251,Punta Arenas
252,Hobart
253,Wollongong
254,Ho Chi Minh City
255,Gdańsk
256,San José
257,Makati City
258,Marrakech
259,Liverpool
260,St. John's
261,Harare
262,Ottawa
263,Providence
264,Toulouse
265,Rosario
266,Durango
267,Gothenburg
268,Maracaibo
269,Cusco
270,Mumbai
271,Ipoh
272,Jakarta
273,Tucson
274,Canberra
275,Tegucigalpa
276,Baghdad
277,Seville
278,Handan
279,Cali
280,Changchun
281,Yogyakarta (city)
282,Alexandria
283,Port Louis
284,Odessa
285,Paramaribo
286,Recife
287,Invercargill
288,Lhasa
289,Buenos Aires
290,Nukulaelae
291,Hat Yai
292,Rotterdam
293,Juneau
294,Phnom Penh
295,Bogotá
296,Bulawayo
297,Maseru
298,Tagbilaran
299,Colombo
300,St. George's
301,Boston
302,Kuching
303,Malang
304,Sofia
305,Port Vila
306,Hargeisa
307,St. Louis
308,Geelong
309,Majuro
310,Sarajevo
311,Saskatoon
312,Brisbane
313,Makassar
314,Fairbanks
315,Kingstown
316,Santiago
317,Praia
318,Kharkiv
319,Fortaleza
320,Dushanbe
321,Andorra la Vella
322,Xi'an
323,Samara
324,Whitehorse
325,Libreville
326,Ho Chi Minh City
327,Abu Dhabi
328,Fort-de-France
329,The Hague
330,Dili
331,Zhengzhou
332,Punta Arenas
333,Koulikoro
334,Faisalabad
335,Seville
336,Bangui
337,Kuwait City
338,Namangan
339,Thimphu
340,Cayenne
341,Cairns
342,Oranjestad
343,Oklahoma City
344,Semarang
345,Gaziantep
346,San Carlos de Bariloche
347,Koulikoro
348,Rosario
349,Bergen
350,Novosibirsk
351,Vitória
352,Tbilisi
353,City of Halifax
354,Iqaluit
355,Gibraltar
356,Sri Jayawardenapura-Kotte
357,Cologne
358,Juneau
359,Mecca
360,Bamako
361,George Town
362,Budapest
363,Porto-Novo
364,Cologne
365,Palikir
366,Cork (city)
367,Tallinn
368,Winnipeg
369,Miami
370,Angra do Heroísmo
371,Casablanca
372,Lyon
373,Pristina
374,Kaliningrad
375,Munich
376,Moscow
377,Chaguanas
378,Johor Bahru
379,San Francisco
380,Kolkata
381,Barcelona
382,Whitehorse
383,Split (city)
384,Recife
385,Vaduz
386,Riyadh
387,Pelotas
388,Tbilisi
389,Alor Star
390,Split (city)
391,Saint Petersburg
392,Kingstown
393,Puebla
394,Concepción
395,Seattle
396,Nashville
397,Kandahar
398,Padang
399,Fukuoka
400,Kuching
401,Vienna
402,Fort-de-France
403,Chongqing
404,Adak
405,Lucknow
406,Tucson
407,Semarang
408,Cartagena
409,San Francisco
410,Lyon
411,City of San Marino
412,Málaga
413,Cincinnati
414,Avarua
415,Mumbai
416,Arequipa
417,Managua
418,Colombo
419,Seattle
420,George Town
421,Munich
422,Sitka
423,Frankfurt
424,Rotterdam
425,Hong Kong
426,Durban
427,Maputo
428,Nouakchott
429,Charlotte Amalie
430,Kandy
431,Cincinnati
432,Kanpur
433,Puerto Williams
434,Horta (Azores)
435,Libreville
436,Mata-Utu
437,Bergen
438,Xining
439,Casablanca
440,Melbourne
441,Moscow
442,Fortaleza
443,Nassau
444,Timbuktu
445,Fort-de-France
446,Sana'a
447,Avarua
448,Almaty
449,Konya
450,Arbil
451,San Francisco
452,Lobamba
453,Frankfurt
454,Bujumbura
455,Helsinki
456,Jayapura
457,Espoo
458,Serekunda
459,Riverside
460,Portland
461,Prague
462,Atlanta
463,Marseille
464,Antwerp
465,Hangzhou
466,Chittagong
467,Tirana
468,Hyderabad
469,Macau
470,Maseru
471,Albuquerque
472,Phnom Penh
473,San Antonio
474,Quetzaltenango
475,Dongguan
476,Santa Cruz de Tenerife
477,Gibraltar
478,Chongjin
479,Tamale
480,Lanzhou
481,Charlottetown
482,Konya
483,San Carlos de Bariloche
484,Thiès
485,Qingdao
486,Dammam
487,Frankfurt
488,Maceió
489,Pyongyang
490,Mendoza
491,Mecca
492,Winnipeg
493,Jaipur
494,Salt Lake City
495,Tegucigalpa
496,Beijing
497,Ankara
498,Washington
499,Davao City
500,Alor Star
501,Blantyre
502,Jeddah
503,Qingdao
504,Kiev
505,Bahía Blanca
506,George Town
507,Glasgow
508,Wollongong
509,Banjul
510,Ulan Bator
511,Angra do Heroísmo
512,Shenyang
513,Dededo
514,Surabaya
515,Tagbilaran
516,Innsbruck
517,Dibrugarh
518,Tel Aviv
519,Port Hedland
520,La Paz
521,Havana
522,Cairns
523,Tampa
524,Xi'an
525,Nuuk
526,Porto-Novo
527,Liverpool
528,Samara
529,Austin
530,Nouakchott
531,Timbuktu
532,Los Angeles
533,Milan
534,Detroit
535,Guatemala City
536,Quebec City
537,El Aaiún
538,Cleveland
539,Panama City
540,Singapore
