id_reviews,date_time,content,clients_id_clients,taxi_companies_id_taxi_companies
100,2020-09-15 07:09:27,Weide,110,2096
101,2022-03-11 12:03:34,Jarib,9631,3449
102,2021-12-16 06:12:18,Sacken,975,2031
103,2015-07-30 12:07:42,Shelba,7822,4708
104,2014-10-02 10:10:50,Mehalek,1870,976
105,2016-11-01 11:11:24,Ardeha,3583,5810
106,2017-01-14 04:01:03,Baptlsta,286,6350
107,2018-11-20 08:11:09,Zeeba,9135,6623
108,2018-05-10 09:05:18,Lay,697,2993
109,2020-05-05 01:05:01,Avi,5274,3089
110,2022-04-03 12:04:40,Winthorpe,7913,416
111,2016-09-23 01:09:25,Emmy,212,5953
112,2020-05-04 02:05:41,Philipp,6756,9704
113,2022-04-20 05:04:46,Mendez,8709,6558
114,2013-07-24 12:07:16,Tillford,878,8942
115,2015-12-05 11:12:34,Swanhildas,9642,9792
116,2017-06-03 07:06:45,Bevin,1714,7395
117,2015-10-17 06:10:00,Hertzfeld,4643,9063
118,2020-11-08 04:11:39,Sidonius,3881,8162
119,2013-04-27 09:04:37,Lynn,5798,2624
120,2015-03-04 02:03:00,Boycey,3843,734
121,2019-12-14 03:12:35,Kevon,5141,3868
122,2016-11-13 02:11:58,Shaver,1967,2136
123,2017-01-18 03:01:42,Atcliffe,7661,8214
124,2021-11-08 05:11:00,Ludewig,6031,9639
125,2019-06-26 07:06:28,Leary,308,2114
126,2014-06-21 02:06:41,Hillel,167,2762
127,2019-09-03 07:09:31,Erskine,1633,699
128,2017-08-25 08:08:17,Carbo,5733,6578
129,2015-12-09 04:12:01,Selway,2600,1457
130,2019-10-17 05:10:48,Pandolfi,294,1428
131,2017-04-30 01:04:36,Schalles,7075,8306
132,2015-10-17 09:10:22,Latini,5370,8911
133,2021-04-23 08:04:15,Agle,618,8125
134,2016-05-29 04:05:14,Ventre,6312,122
135,2016-06-03 09:06:33,Syd,1894,230
136,2016-08-22 02:08:11,Ailyn,6910,5226
137,2015-12-25 11:12:47,Cath,7867,2979
138,2021-07-10 04:07:47,Kiyoshi,6303,9308
139,2020-05-14 10:05:04,Yerkovich,5775,5124
140,2020-11-12 11:11:24,Auberbach,1034,3763
141,2022-03-19 06:03:16,Allare,3346,1187
142,2020-01-08 08:01:35,Schenck,1844,7759
143,2021-01-17 09:01:03,Nunci,7244,762
144,2020-11-21 07:11:12,Bury,3882,2306
145,2014-08-14 10:08:34,Noman,955,3986
146,2014-11-26 12:11:34,Mott,2759,8774
147,2015-06-13 08:06:33,Stanwood,6772,2518
148,2022-01-29 12:01:49,Gillan,3119,4601
149,2022-02-23 12:02:43,Adore,1176,9635
150,2018-07-25 11:07:58,Bates,2447,7888
151,2015-05-07 05:05:07,Evangelia,9405,8572
152,2014-06-28 02:06:03,Gaspard,5762,9755
153,2015-01-31 04:01:18,Roxanna,2355,2066
154,2013-11-04 06:11:14,Ricarda,980,3009
155,2020-12-09 11:12:32,Aurelio,3246,121
156,2021-12-27 07:12:59,Koziara,8053,2840
157,2022-01-12 02:01:40,Chaing,5709,863
158,2021-03-09 08:03:53,Haldas,3680,2502
159,2017-06-05 03:06:39,Greyson,9790,2510
160,2015-02-07 10:02:41,Zina,7140,3819
161,2020-10-19 05:10:20,Jenness,4004,4816
162,2021-05-07 06:05:23,Jenness,1316,4133
163,2012-08-24 05:08:01,Dimitris,8935,6961
164,2016-04-10 12:04:04,Pettiford,6900,4344
165,2020-07-03 07:07:00,Shama,4521,7062
166,2020-03-14 05:03:58,Seessel,2275,5800
167,2021-08-17 05:08:45,Naashom,6874,3186
168,2018-05-14 03:05:33,Bandeen,3890,4796
169,2019-01-07 07:01:42,Faria,3247,188
170,2012-04-22 05:04:31,Rona,2793,3319
171,2014-11-01 12:11:42,Bakerman,3655,1171
172,2014-02-24 07:02:13,Engdahl,4667,9313
173,2014-07-26 06:07:45,Ezar,4972,1101
174,2019-08-10 07:08:30,Iaverne,8092,8472
175,2022-05-21 06:05:36,Shields,4245,9770
176,2018-09-18 12:09:05,Fiann,8658,3216
177,2016-09-29 10:09:51,Isidore,8006,8687
178,2015-07-15 09:07:13,Brady,4167,5848
179,2012-06-26 10:06:11,Cosenza,7025,2556
180,2018-08-08 01:08:05,Joseph,4499,923
181,2019-03-27 09:03:08,Durante,6811,351
182,2020-12-10 03:12:49,Erich,5698,686
183,2021-11-23 06:11:21,Ortrude,4021,10026
184,2020-06-21 02:06:52,Phaidra,5190,2326
185,2017-10-21 01:10:53,Rogerio,9366,8365
186,2017-05-07 06:05:19,Eno,351,1598
187,2022-02-13 01:02:58,Devlen,4655,2012
188,2014-11-25 01:11:13,Middleton,2401,4862
189,2013-01-24 10:01:03,Faro,1592,2854
190,2019-04-05 07:04:47,Henebry,8343,7974
191,2015-01-09 02:01:32,Wildermuth,8046,8941
192,2016-03-08 07:03:35,Narton,9387,3162
193,2014-12-01 11:12:54,Poll,5356,8827
194,2013-04-22 03:04:45,Glovsky,249,5436
195,2013-01-03 01:01:03,Baptlsta,5100,723
196,2019-09-17 04:09:06,Karylin,6048,6607
197,2019-04-15 01:04:32,Mehalek,2043,8087
198,2012-08-30 11:08:50,Deegan,7109,264
199,2016-05-16 10:05:02,Giff,9393,272
200,2020-07-18 10:07:01,Neils,5309,2641
201,2021-10-20 07:10:19,Garbe,3827,7455
202,2018-09-08 09:09:19,Ries,3871,9338
203,2021-02-25 08:02:45,Quinn,5616,7377
204,2013-05-15 05:05:10,Saree,671,1171
205,2013-07-10 12:07:09,Ader,5228,459
206,2015-09-05 11:09:14,Terrence,3646,4576
207,2020-03-08 11:03:42,Ricki,3740,7124
208,2012-06-14 04:06:32,Joseph,9231,8094
209,2014-03-24 06:03:15,Ailyn,9986,8999
210,2016-12-05 01:12:07,Sprage,1545,1328
211,2018-11-24 12:11:17,Tatianas,5558,4088
212,2014-03-25 11:03:59,Bonilla,5855,9639
213,2020-04-24 10:04:17,Shuler,5689,8738
214,2013-04-05 11:04:56,Amethist,1688,5054
215,2017-10-07 03:10:29,Blake,7372,1307
216,2013-09-14 11:09:03,Agle,2490,3055
217,2012-10-18 07:10:54,Boehike,942,9269
218,2015-07-13 07:07:55,Melleta,2042,9863
219,2020-07-10 03:07:24,Glovsky,4483,1273
220,2014-03-14 04:03:30,Garrison,1842,9959
221,2017-10-16 01:10:25,Ranjiv,9769,1914
222,2015-06-27 06:06:56,Anton,1290,3975
223,2014-06-22 08:06:53,Carleen,3159,4511
224,2013-07-06 12:07:17,Thilda,4706,1986
225,2021-08-24 04:08:04,Pauly,1808,7384
226,2016-08-02 08:08:39,Clara,7958,7390
227,2014-06-28 07:06:12,Noelyn,6020,9547
228,2014-06-19 06:06:32,Zenas,6104,1571
229,2012-10-08 10:10:12,Astra,5803,341
230,2015-04-12 03:04:18,Slifka,6099,9933
231,2017-03-23 09:03:34,Fink,2062,8829
232,2022-05-15 05:05:43,Philipp,10080,3083
233,2022-05-12 09:05:59,Gladstone,2833,5290
234,2013-12-16 04:12:47,Daniele,9944,6356
235,2017-08-12 07:08:46,Zola,5260,2974
236,2013-01-02 03:01:11,Herrera,126,7202
237,2022-05-11 01:05:57,Colleen,5044,4959
238,2013-11-28 04:11:54,Thad,8444,3348
239,2022-05-15 08:05:10,Miru,6124,994
240,2018-10-07 03:10:45,Cynar,3514,7290
241,2014-12-08 09:12:29,Mauer,6598,8158
242,2015-06-26 11:06:25,Amethist,9581,9402
243,2013-04-14 02:04:58,Ralfston,6759,2397
244,2016-11-05 07:11:34,Thomasina,2364,5082
245,2016-06-29 01:06:00,Juliet,817,3714
246,2013-08-18 10:08:11,Bow,8223,1086
247,2017-03-29 11:03:20,Pozzy,4962,2843
248,2017-10-24 07:10:32,Ranjiv,4706,6659
249,2021-11-04 12:11:10,Cordi,7641,6153
250,2018-03-18 09:03:29,Leonard,9125,3818
251,2017-11-17 07:11:00,Bow,6657,6790
252,2022-05-11 10:05:45,Pattin,1286,3267
253,2021-07-02 01:07:18,Vorster,5418,2572
254,2016-01-19 10:01:21,Montgomery,2398,7175
255,2018-06-27 01:06:33,Tengdin,1618,8870
256,2018-02-22 11:02:22,Mata,8134,8707
257,2018-07-05 08:07:57,Greyson,9853,9477
258,2018-10-09 04:10:06,Morrill,3187,5903
259,2018-06-30 03:06:37,Emerson,5262,2053
260,2018-02-10 01:02:20,Argus,2786,1376
261,2014-09-15 12:09:01,Winnick,2171,2001
262,2013-05-06 10:05:05,Lesley,5724,9105
263,2013-03-29 01:03:53,Bendick,3191,1427
264,2020-07-04 12:07:39,Schlosser,9813,2241
265,2021-12-07 03:12:32,Llovera,1450,1204
266,2017-10-01 07:10:49,Hashim,4469,2179
267,2012-12-10 11:12:21,Kalinda,2171,7773
268,2019-11-23 05:11:15,Adrienne,192,4864
269,2014-12-23 12:12:14,Carey,1874,9071
270,2016-05-07 12:05:45,Aurelio,7420,8119
271,2017-04-16 04:04:26,Tristram,8380,2519
272,2021-10-25 04:10:25,Freddi,2956,471
273,2019-10-22 12:10:45,Means,739,2388
