id_taxi_companies,name,rating
100,Kazimir,1.62
101,Germann,4.99
102,Gregrory,3.82
103,Hylan,2.73
104,Parsaye,2.97
105,Granoff,1.98
106,Billye,3.69
107,Clarissa,2.17
108,Palocz,1.86
109,Ammann,2.62
110,Vharat,3.24
111,Hachmin,2.76
112,Faro,4.81
113,Ramona,4.32
114,Weide,1.63
115,Raseda,4.11
116,Ciapas,3.23
117,Sawtelle,4.29
118,Fancie,1.64
119,Even,3.54
120,Lory,1.99
121,Land,4.98
122,Stevy,4
123,Philipp,3.19
124,Dosia,3.62
125,Raimondo,2.12
126,Joseph,2.03
127,Keelia,4.04
128,Gherardo,3.5
129,Noam,4.51
130,Bearnard,2.32
131,Knowling,3.24
132,Richers,2.43
133,Swanhildas,4.92
134,Ball,4.92
135,Cottle,2.39
136,Weaks,2.55
137,Love,3.46
138,Delp,3.77
139,Georgy,4.91
140,Vastah,2.16
141,Colp,2.28
142,Sidonius,1.25
143,Chick,2.5
144,Rosemary,4.81
145,Drisko,1.29
146,Berriman,4.21
147,Xerxes,1.67
148,Kosey,3.02
149,Rossner,1.33
150,Roumell,2.37
151,Sharl,3.7
152,Thornburg,2.3
153,Garlinda,3.56
154,Gino,4.71
155,Bohlin,2.29
156,Callista,3.33
157,Thad,2.25
158,Bendick,2.4
159,Schlosser,2.65
160,Secrest,3.43
161,Anastatius,1.86
162,Suzetta,2.56
163,Carvey,4.26
164,Tiffa,4.54
165,Oster,1.85
166,Kirbee,4.53
167,Bebe,4.87
168,Sasnett,1.63
169,Tomasina,3.63
170,Faso,2.4
171,Hirsch,4.75
172,Kiyoshi,1.84
173,Bouchard,4.4
174,Hylan,3.76
175,Georgy,1.07
176,Astra,4.17
177,Alwin,1.64
178,Mayeda,3.83
179,Campball,2.37
180,Loring,4.52
181,Euridice,3.6
182,Aldric,4.07
183,Michella,3.63
184,Bashemeth,4.11
185,Vilma,3.17
186,Glovsky,1.82
187,Faria,3.7
188,Berriman,4.33
189,Krystle,2.68
190,Carvey,4.06
191,Chem,1.93
192,Kravits,4.52
193,Kesley,3.71
194,Urias,4.57
195,Bow,1.44
196,Velick,1.94
197,Chapland,2.34
198,Bonilla,3.23
199,Sigfrid,1.77
200,Haymes,1.48
201,Maurine,2.36
202,Sekofski,3.5
203,Riordan,2.36
204,Flita,2.99
205,Gualtiero,3.25
206,Pattin,1.87
207,Hollingsworth,3.52
208,Jacobah,1.8
209,Egbert,3.03
210,Hieronymus,1.86
211,Yuille,4.24
212,Cleavland,4.86
213,Fitzsimmons,4
214,Anastatius,4.08
215,Drus,4.6
216,Bates,2.02
217,Hilbert,1.68
218,Trey,1.54
219,Tufts,1.96
220,Morgun,4.71
221,Meli,2.26
222,Gaulin,3.91
223,Nunci,4.73
224,Poll,3.66
225,Lane,1.63
226,Tatianas,2.1
227,Tristram,2.27
228,Howlyn,2.6
229,Gwenore,4.82
230,Bohlin,4.97
231,Deny,1.17
232,Jary,1.62
233,Chauncey,2.52
234,Shanley,1.09
235,Durware,1.32
236,Liebermann,1.94
237,Capello,3.9
238,Sigfrid,3.74
239,Destinee,4.74
240,Susannah,2.92
241,Screens,4.69
242,Annabella,1.91
243,Lattie,3.34
244,Dunkin,3.01
245,Thad,2.46
246,Clarissa,3.41
247,Dyche,2.57
248,Bryna,2.85
249,Standing,2.99
250,Huggins,2.32
251,Velick,1.39
252,Sekofski,1.08
253,Avi,1.23
254,Colleen,1.85
255,Goddard,2.93
256,Monaco,4.63
257,Means,1.85
258,Poppy,2.17
259,Sherfield,3.38
260,Auberbach,4.04
261,Raimondo,4.04
262,Romelda,4.42
263,Myrilla,1.86
264,Edvard,4.54
265,Zetta,2.75
266,Olin,4.06
267,Phaidra,4.19
268,Lumbard,3.34
269,Bates,1.84
270,Jess,4.77
271,Francyne,2.89
272,Baudin,4.74
273,Philipp,3.27
274,Cornelia,4.44
275,Ailyn,2.75
276,Ahab,4.1
277,Michella,1.39
278,Cloris,4.9
279,Burch,2.41
280,Peg,2.34
281,Flita,2.56
282,Hazlett,4.49
283,Pond,2.76
284,Bach,1.14
285,Jarib,1.26
286,Callista,1.51
287,Burkle,3.78
288,Kazimir,2.6
289,Egbert,1.33
290,Septima,2.7
291,Socha,2.2
292,Kamaria,2.62
293,Iphlgenia,2.66
294,Wareing,1.23
295,Khorma,4.38
296,Oscar,3.25
297,Lesley,4.65
298,Hanshaw,1.95
299,Luhe,2.59
300,Madaih,1.71
301,Westphal,3.65
302,Naor,3.3
303,Toni,2.24
304,Erskine,4.53
305,Salchunas,3.23
306,Reidar,1.9
307,Teryn,3.38
308,Kaete,1.86
309,Larochelle,3.09
310,Randene,2.61
311,Sekofski,3.35
312,Edison,3.19
313,Curren,4.8
314,Gilbertson,1.02
315,Middleton,1.86
316,Jorgan,3.19
317,Jagir,4.31
318,Alice,2.59
319,Durware,3.36
320,Oneida,2.41
321,Selway,2.01
322,Naashom,1.9
323,Melony,3.62
324,Wenoa,1.07
325,Emanuel,3.08
326,Forrer,4.52
327,Earlie,3.38
328,Stover,4.43
329,Rosemary,4.26
330,Hortensia,2.7
331,Therine,3.57
332,Lemuela,4.86
333,Lumbard,1.26
334,Emanuel,1.65
335,Bibi,2.6
336,Holtz,1.58
337,Johnsson,4.89
338,Mandler,1.29
339,Henrie,3.56
340,Morrill,1.43
341,Pacorro,1.73
342,Prouty,1.79
343,Ader,2.31
344,Cosenza,3.12
345,Carolin,2.09
346,Colbert,4.34
347,Ingra,3.88
348,Prouty,4.03
349,Bronk,4.83
350,Jaylene,2.46
351,Niccolo,1.29
352,Andrel,2.24
353,Toor,3.49
354,Dex,4
355,Aaberg,2.14
356,Alice,1.11
357,Milde,1.8
358,Kare,2.95
359,Kenwood,2.24
360,Soneson,3.1
361,Laverne,4.5
362,Marijo,4.29
363,Morehouse,1.17
364,Bebe,4.29
365,Ruvolo,1.28
366,Guildroy,3.28
367,Ramona,2.84
368,Blisse,1.03
369,Ashely,1.01
370,Simmonds,1.68
371,Hunfredo,2.09
372,Lumbard,1.22
373,Wu,3
374,Masao,1.9
375,Darbie,3.88
376,Erskine,2.98
377,Quent,3.34
378,Jacqui,1.33
379,Bettine,3.81
380,Linehan,1.99
381,Bevin,1.49
382,Vilma,2.8
383,Callista,1.54
384,Kirbee,2.3
385,Salvidor,4.1
386,McLaughlin,3.49
387,Ortrude,4.18
388,Graig,3.19
389,Uird,3.58
390,Zenas,4.36
391,Latini,3.87
392,Richers,2.36
393,Adore,4.85
394,Scammon,3.95
395,Poppy,3.67
396,Baudin,1.87
397,Eugenia,3.37
398,Roumell,3.14
399,Travax,3.22
400,Vorster,1.58
401,Gaspard,3.56
402,Jaylene,3.75
403,Seumas,4.7
404,Alabaster,2.64
405,Newell,2.78
406,Kermit,3.42
407,Wu,3.27
408,Erminia,1.59
409,Hull,1.32
410,Manolo,1.6
411,Bobbee,3.23
412,Arathorn,1.3
413,Girardo,4.09
414,Kiersten,1.81
415,Stanwood,1.44
416,Daveta,1.99
417,Belanger,3.16
418,Agle,3.75
419,Anton,3.53
420,Marijo,3.18
421,Trinetta,3.82
422,Brenn,3.82
423,Bethany,3.28
424,Medrek,1.04
425,Yuille,2.32
426,Faso,2.32
427,Forrer,3.82
428,Prouty,3.66
429,Arne,3.54
430,Liva,4.26
431,Dichy,2.26
432,Earlie,2.98
433,Warthman,1.72
434,Briney,2.9
435,Erlandson,4.74
436,Franza,4.86
437,Joseph,1.29
438,Reidar,2.12
439,Forrer,2.83
440,Gualtiero,2.65
441,Fax,2.63
442,Corilla,2.42
443,Kermit,4.14
444,Harday,3.26
445,Aurelio,2.42
446,Ries,3.76
447,Rosemary,1.45
448,Brieta,4.09
449,Israeli,2.3
450,Norvol,3.98
451,Libna,3.47
452,Tamsky,4.47
453,Bouchard,3.16
454,Kendrick,3.1
455,McNully,4.31
456,Marden,1.61
457,Prouty,4.93
458,Cadmar,3.97
459,Roarke,4.12
460,Corilla,1.09
461,Levey,2.9
462,Euridice,2.25
463,Leonard,3.29
464,Giff,2.13
465,Agle,3.02
466,Moseley,3.83
467,Belldas,2.1
468,Nance,2.33
469,Gaal,4.43
470,Himelman,1.03
471,Stuart,4.78
472,Moseley,4.5
473,Stephie,2.02
474,Laverne,3.8
475,Nisbet,4.64
476,Chem,4.21
477,Saree,1.55
478,Loeb,2.29
479,Glovsky,4.48
480,Nea,2.36
481,Stanwood,2.6
482,Merriott,4.41
483,Redmond,2.07
484,Kimmie,4.17
485,Lane,3.49
486,Casimir,2.26
487,Karl,1.5
488,Isacco,4.79
489,Sibyls,2.13
490,Cutlerr,2
491,Chesna,1.23
492,Docilla,4.16
493,Uund,4.34
494,Reinke,2.38
495,Lane,1.83
496,Karna,2.04
497,Ioab,4.36
498,Pernick,4.71
499,Colyer,2.2
500,Ochs,3.98
501,Bronk,4.42
502,Vacuva,3.43
503,Gert,3.01
504,Kosey,3.13
505,Mozelle,4.3
506,Kermit,3.14
507,Amand,1.06
508,Rubie,2.32
509,Buckler,2.8
510,Linehan,4.47
511,Douglass,2.97
512,Clie,4.78
513,Atcliffe,3.6
514,Montgomery,4.74
515,Carey,2.73
516,Hurley,3.88
517,Pauly,1.54
518,Birdella,1.68
519,Burnside,2.94
520,Riva,2.59
521,Yuille,3.05
522,Center,2.82
523,Stevy,1.87
524,Dyche,4.95
525,Phaidra,3.45
526,Mike,2.43
527,Sidonius,4.8
528,Gaynor,4.93
529,Himelman,1.45
530,Suanne,1.01
531,Bashemeth,1.64
532,Guthrie,1.41
533,Edmund,3.29
534,Isacco,3.43
535,Shelba,4.67
536,Giule,2.01
537,Iiette,1.78
538,Beebe,2.43
539,Felecia,3.57
540,Brodench,4.67
541,Tjon,4
542,Kylander,1.9
543,Nedrud,4.65
544,Codding,2.65
545,Adalbert,1.73
546,Holtz,1.27
547,Konyn,3.18
548,Leler,4.3
549,Standing,4.12
550,Suk,4.41
551,Barrus,2.57
552,Blisse,1.73
553,Stelle,4.23
554,Etom,2.49
555,Modie,1.96
556,Alice,2.79
557,Morehouse,4.61
558,Baptlsta,4.04
559,Azeria,4.81
560,Fosque,1.99
561,Khorma,2.19
562,Dimitris,1.27
563,Plato,1.05
564,Peonir,3.82
565,Karl,2.25
566,Vary,1.54
567,Estella,3.92
568,Rhu,2.4
569,Halla,2.87
570,Wyn,4.62
571,Lauraine,3.89
572,Henebry,1.68
573,Phaidra,2.72
574,Ruvolo,3.37
575,Nedrud,1.11
576,Saunderson,2.6
577,Craggie,1.22
578,Remmer,4.67
579,Bonilla,4.72
580,Raimondo,3.66
581,Goldina,3.21
582,Brittani,1.66
583,Craggie,4.3
584,Chem,3.97
585,Pelagias,1.89
586,O'Rourke,1.36
587,Izaak,3.81
588,Odysseus,2.41
589,Ricki,1.29
590,Maryanne,4.29
591,Astra,2.73
592,Maurine,1.69
593,Selway,4.58
594,Ephrem,2.3
595,Izaak,1.42
596,Frendel,1.15
597,Fulmer,3.9
598,Annice,3.18
599,Fillbert,4.03
600,Blase,1.89
601,Vilma,3.34
602,Tybald,3.51
603,Birdella,1.85
604,Manolo,3.11
605,Amand,3.61
606,Vittoria,3.35
607,Jerald,1.25
608,Oscar,4.8
609,Dorothy,2.84
610,Urania,1.79
611,Joni,3.18
612,Velick,1.92
613,Brodench,1.14
614,Yate,3.87
615,Ax,4.88
616,Israeli,1
617,Karl,1.13
618,Tristram,2.18
619,Jena,3.4
620,Ludewig,4.74
621,Dituri,1.63
622,Fry,4.96
623,Claudine,1.34
624,Pauly,3.92
625,Arquit,2.26
626,Lemuela,1.13
627,Stephie,1.4
628,Colleen,1.45
629,Lattie,4.57
630,Raseda,4.37
631,Faust,1.82
632,Rosette,2.15
633,Ardra,4.56
634,Lissi,4.78
635,Colyer,3.72
636,Ade,4.44
637,Joni,2.92
638,Ahab,1.76
639,Charmine,2.44
640,Dyche,3.32
641,Ramona,4.1
642,Hunfredo,4.63
643,Fink,3.17
644,Lalitta,1.61
645,Elephus,2.12
646,Valoniah,2.44
647,Glovsky,2.17
648,Lanita,4.94
649,Franza,4.03
650,Eckblad,1.15
651,Baylor,4.34
652,Rese,2.43
653,Sekofski,2.13
654,Persse,1.66
655,Daveta,4.66
656,Lacombe,1.88
657,Holbrook,3.77
658,Gert,4.07
659,Jagir,1.83
660,Marlie,4.04
661,Yorick,4.16
662,Schlosser,3.7
663,Melleta,3.38
664,Parette,1.54
665,Zaslow,3
666,Gemini,3.86
667,Bivins,3.98
668,Wandie,4.15
669,Lacombe,2.81
670,Birdella,3.99
671,Fitzsimmons,1.28
672,Sacken,3.84
673,Jehu,3.91
674,Laurianne,2.41
675,Moina,2.26
676,Lemuela,1.06
677,Lytton,1.3
678,Maroney,4.37
679,Hieronymus,2.89
680,Bollay,3.67
681,Bach,2.86
682,Bonucci,2.24
683,Pulsifer,3.51
684,Lumbard,1.85
685,Howlyn,4.15
686,Harday,1.25
687,Caitlin,4.96
688,Mendez,4.98
689,Nore,1.98
690,Isidore,4.12
691,Idelia,3.52
692,Brunell,4.53
693,Bow,4.46
694,Hortensia,2.58
695,Rocray,3.43
696,Bord,3.61
697,Cullin,1.57
698,Loeb,4.13
699,Cynar,3.23
700,Klemperer,3.64
701,Niccolo,1.07
