id_taxi_drivers,nickname,driving_experience
100,Cornelia,63
101,Mott,79
102,Bohlin,71
103,Gherardo,55
104,Norvol,74
105,Anton,31
106,Alwin,2
107,Saint,58
108,Johanna,39
109,Trey,69
110,Carvey,73
111,Gemini,34
112,Mintz,17
113,Linskey,30
114,Bibi,69
115,Fennessy,57
116,Howlyn,47
117,Joni,24
118,Krystle,64
119,Means,14
120,Tryck,77
121,Odysseus,58
122,Noman,71
123,Evangelia,8
124,Raama,37
125,Matthew,50
126,Teryn,82
127,Mata,24
128,Pelagias,3
129,Primalia,29
130,Diann,55
131,Ilka,11
132,Swanhildas,63
133,Cleavland,80
134,Vale,11
135,Friede,6
136,Bonilla,14
137,Payson,31
138,Sharl,32
139,Strephon,59
140,Bronk,58
141,Brunell,65
142,Hoenack,13
143,Stanwood,66
144,Alfons,65
145,Chrystel,47
146,Avi,78
147,Maisey,15
148,Yusuk,2
149,Leffen,70
150,Reinke,51
151,Alisia,60
152,Vittoria,28
153,Camden,26
154,Tufts,65
155,Kauppi,53
156,Jefferey,33
157,Odysseus,71
158,Ahab,9
159,Torray,37
160,Bebe,30
161,Damarra,53
162,Ferino,18
163,Jaylene,71
164,Hertzfeld,46
165,Reinke,39
166,Kathie,70
167,Toffic,26
168,Wenoa,3
169,Dosia,49
170,Rooney,17
171,Screens,22
172,Georas,81
173,Karl,3
174,Kirstin,59
175,Raychel,64
176,Ciapas,48
177,Karna,69
178,Cath,44
179,Genna,55
180,Stuart,56
181,Amasa,48
182,Rubie,16
183,Annabella,11
184,Lowry,62
185,Orelee,49
186,Maribeth,39
187,Berl,38
188,Yoko,12
189,Neva,31
190,Thad,13
191,Helfand,24
192,Roarke,13
193,Allare,76
194,Schonfeld,30
195,Irmine,20
196,Sharl,5
197,Bonucci,5
198,Wattenberg,80
199,Deegan,5
200,Ade,59
201,Isacco,79
202,Elvyn,20
203,Sikorski,62
204,Freddi,33
205,Fadiman,30
206,Nester,18
207,Damarra,18
208,Presber,75
209,Auberbach,15
210,Fry,65
211,Cohdwell,46
212,Santoro,53
213,Rubie,8
214,Ajay,37
215,Gemini,55
216,Velick,32
217,Belldas,31
218,Leonard,32
219,Septima,39
220,Francyne,76
221,Joeann,55
222,Lea,74
223,Darbie,79
224,Eben,18
225,Maisey,63
226,Georgy,61
227,Rillings,36
228,Carlson,40
229,Lumbard,7
230,Kauppi,55
231,Guthrie,11
232,Zamora,19
233,Johanna,69
234,Othilia,7
235,Gregrory,41
236,Tiffa,40
237,Shaddock,12
238,Mathilde,74
239,Earlie,7
240,Allys,4
241,Posner,57
242,Belanger,9
243,Oriana,51
244,Vilma,53
245,Yusuk,47
246,Eldrid,25
247,Holbrook,31
248,Mintz,16
249,Niles,2
250,Cristi,82
251,Dorcy,32
252,Ferino,19
253,Mayeda,82
254,Santoro,4
255,Sandye,47
256,Whittaker,27
257,Gahl,15
258,Winthorpe,55
259,Parette,61
260,Kravits,58
261,Shama,49
262,Stefa,49
263,O'Carroll,50
264,Dawkins,41
265,Dearborn,38
266,Carri,17
267,Morgun,73
268,Garlinda,7
269,Bluh,78
270,Harday,82
271,Chem,24
272,Ailyn,34
273,Braun,62
274,McLaughlin,67
275,Magdalen,62
276,Dyche,36
277,Bearnard,81
278,Byrne,28
279,Gaynor,55
280,Lilas,77
281,Jefferey,38
282,Lamoree,40
283,Morrill,37
284,Sekofski,43
285,Sundin,79
286,Rosette,19
287,Elbertina,18
288,Hoban,25
289,Matthew,39
