id_trips,forms_of_payment_id_forms_of_payment,departure_address,arrival_address,estimation,clients_id_clients,order_methods_id_order_methods,contracts_id_contracts
200,5569,Moroni,Luxembourg (city),5,9475,5989,1973
201,596,South Tarawa,Hanover,1,6952,942,1869
202,9542,Changchun,Chengdu,5,130,5304,611
203,7410,Ndola,Anadyr (town),2,6067,1718,8540
204,2944,Oklahoma City,San Juan,2,4689,4978,5863
205,7316,Sucre,Yokohama,3,6678,129,8013
206,646,Phoenix,Phuket (city),2,7679,2683,7004
207,1296,New Orleans,Cusco,5,6338,5585,3378
208,657,Miami,Jacksonville,5,2039,1351,1329
209,4307,Paramaribo,Nouakchott,2,633,8972,10003
210,5423,Taiyuan,Cuiabá,1,8772,5243,1997
211,2834,Petropavlovsk-Kamchatsky,Petropavlovsk-Kamchatsky,3,1968,6265,7359
212,1034,Beijing,Yogyakarta (city),3,2950,3733,3239
213,8611,Guadalajara,Guangzhou,1,1543,6296,3466
214,8826,Phnom Penh,Tampere,5,2711,1974,7109
215,5272,Rio Branco,Kraków,2,5623,5151,9452
216,6731,Xining,Yaoundé,5,5404,1422,1195
217,3278,Phnom Penh,Pretoria,2,9945,1933,2492
218,4715,St. Louis,Chongjin,5,4384,4008,1249
219,4228,Curitiba,Manaus,5,6906,7242,4049
220,530,Nukulaelae,Doha,4,2656,6674,9829
221,8626,Lima,Zhengzhou,2,2073,2141,567
222,5437,Rockhampton,Townsville,1,1385,8669,1266
223,4276,Mecca,Tórshavn,2,5894,5663,239
224,2956,Simferopol,Zamboanga City,5,7185,10013,7750
225,8846,Phuket (city),Tamale,1,3464,8586,2743
226,2468,Douglas,Jeddah,1,4593,4779,6454
227,6527,Bern,Freetown,2,4919,4014,7848
228,1193,Bamako,Vienna,3,5724,5163,2418
229,1285,Atlanta,Nakhon Ratchasima,2,2650,8973,8528
230,5776,Banda Aceh,Srinagar,1,4313,7329,7705
231,3289,Seoul,Malacca Town,5,2359,6972,7659
232,2286,Barcelona,Maracaibo,3,609,8421,9234
233,3083,Malabo,Hangzhou,5,9635,9571,4279
234,9779,Winnipeg,Shillong,3,8851,7610,5534
235,435,Budapest,Tskhinvali,1,1829,819,4887
236,4373,Kingston,Cartagena,4,8199,8199,8862
237,5741,Moroni,Tel Aviv,4,4807,8171,6621
238,7172,San José,Charlotte,4,7815,9139,2136
239,5138,Ottawa,Cairo,4,4062,1085,4110
240,9187,Caracas,Forked River,3,9026,7220,8323
241,9925,Chongjin,Perm,5,5592,5117,808
242,3263,Cotonou,Copenhagen,4,9524,7805,6137
243,5789,Kaesong,Rabi Island,4,8971,291,5272
244,6944,Siem Reap,Tianjin,4,9339,8092,8819
245,5232,Brikama,Gold Coast,1,5988,8299,1810
246,1669,Dresden,Tianjin,2,4353,905,797
247,3238,Santo Domingo,Quebec City,4,5940,2914,4245
248,4852,Monterrey,Niamey,1,1551,9571,6066
249,9853,Mbabane,Karachi,4,561,774,8937
250,8691,Vientiane,Palikir,5,8609,3252,5399
251,3599,Taichung,Dili,5,4907,6864,1865
252,9283,Darwin,Ulan Bator,5,1264,7023,2047
253,1737,Hargeisa,Nashville,1,2091,9473,4100
254,6647,Seoul,Oklahoma City,1,9024,7655,886
255,8419,Lisbon,Port Said,4,7823,6650,8800
256,872,Brisbane,Praia,4,5001,5183,4568
257,5569,Ambon,Tel Aviv,3,8205,9425,3758
258,185,Jerusalem,Jerusalem,1,1887,3657,8219
259,6663,Rawalpindi,Tunis,5,6449,3277,2071
260,4672,Washington,Mendoza,5,1511,5503,5909
261,3428,Damascus,Kabul,4,8527,7743,4865
262,3964,Hong Kong,Kingstown,3,6780,8285,6013
263,9913,Nanjing,Wuhan,1,1905,8102,566
264,8063,Munich,Guangzhou,4,4332,6643,7939
265,7223,Strasbourg,Bern,2,6473,6191,521
266,9525,Yamoussoukro,Tunis,3,547,8883,2746
267,1906,Dodoma,Sabha,5,8165,980,7992
268,214,Murmansk,Wonsan,2,2310,3528,9241
269,5492,Mumbai,Nagpur,1,8316,259,973
270,5436,Amsterdam,Whitehorse,2,6778,8718,7035
271,2060,Fukuoka,Chengdu,5,5419,1393,8040
272,3494,Amsterdam,Khartoum,2,9891,5313,4092
273,7710,Dallas,Nassau,1,5317,9854,2813
274,9212,Kunming,Guwahati,2,1929,6707,4245
275,7326,Zürich,Chaguanas,3,1470,5023,8697
276,7549,Yellowknife,Salt Lake City,4,4448,9878,4591
277,8426,Tskhinvali,Geneva,3,102,988,5865
278,2348,Koror,Santa Cruz de Tenerife,4,5896,5754,502
279,3075,Suez,Yellowknife,2,5966,5816,2380
280,7484,Birkirkara,San Francisco,5,8668,4511,9855
281,4632,Newcastle,Mendoza,4,7015,8756,3297
282,4815,Pittsburgh,Oklahoma City,3,2884,9204,9293
283,3967,Rotterdam,Shillong,3,1268,2455,2881
284,4902,Nakhon Ratchasima,Koror,1,7596,3752,2614
285,6577,São Paulo,Chittagong,2,7626,10048,1572
286,2174,Bangui,Marseille,1,2796,7398,6925
287,9252,Salzburg,Makassar,4,4983,9621,1581
288,2597,Singapore,Medellín,1,8589,872,7499
289,1183,Port Blair,Sydney,2,5888,6766,9288
290,945,Saint-Pierre,Agartala,3,8463,9526,3612
291,7007,Sitka,Tiraspol,2,5286,2793,6959
292,673,Cork (city),Srinagar,1,4023,1568,402
293,844,Quetzaltenango,Da Nang,4,8953,200,5227
294,1363,Andorra la Vella,Brikama,1,1707,7906,8064
295,2240,Leipzig,Assis,4,602,1035,4609
296,9976,Peshawar,Surabaya,4,3163,9123,1114
297,4722,Jerusalem,Nanning,1,5332,8929,9310
298,443,Tabriz,Assis,4,3317,5299,5420
299,880,Glasgow,Berlin,5,1336,3362,2529
300,6609,Muscat,Tampa,1,6068,7492,3861
301,578,Doha,Palikir,5,4342,5577,1469
302,4166,Tagbilaran,Phnom Penh,4,8061,3453,7777
303,4170,Lilongwe,Medellín,2,849,5605,8791
304,2215,Livingstone,Las Vegas,3,9292,5172,7585
305,3004,Lviv,Tucson,3,1679,5508,6708
306,4791,Milan,Cairns,1,4717,9785,4788
307,681,Alor Star,Athens,1,8066,6329,8366
308,9021,Barranquilla,Louisville,4,8214,5461,1820
309,7762,Lomé,Vaduz,5,4570,2651,789
310,1955,Dili,Kathmandu,3,435,3459,4581
311,4061,Ouagadougou,Yaoundé,2,2994,4163,2991
312,2461,Tripoli,Yangon,4,9194,6909,2201
313,6660,Valdivia,Lhasa,1,456,4412,5443
314,8148,Hargeisa,Aberdeen,1,2829,7661,4744
315,6575,Winnipeg,Milwaukee,5,1300,5496,7292
316,2058,Manama,Liverpool,2,3715,6863,1217
317,5510,Hyderabad,Manzini,2,9836,860,3900
318,3945,Angra do Heroísmo,Melbourne,4,7604,4857,6031
319,7981,Thiès,Seattle,3,2521,3192,4586
320,1955,Nassau,Udon Thani,1,2534,7227,9601
321,1680,Guadalajara,Horta (Azores),1,7727,9664,4615
322,4008,Wuhan,Jacksonville,4,4015,856,1614
323,1597,Ulan Bator,Baltimore,4,7391,5033,9063
324,9631,Miami,Singapore,5,7450,9409,621
325,1472,Shenzhen,Tashkent,2,1450,6925,1659
326,268,Lilongwe,Vientiane,1,6035,7525,4921
327,6030,Port Moresby,Maracaibo,5,9629,960,8282
328,7616,Bissau,Pekanbaru,2,2020,2128,1190
329,410,Córdoba,Chihuahua,5,4552,1539,2647
330,2360,N'Djamena,Bangui,5,4976,1128,7648
331,611,Srinagar,Mumbai,1,8455,2431,2508
332,7888,Regina,Pago Pago,2,113,9508,281
333,157,Incheon,Puerto Williams,4,3027,1504,767
334,600,Douglas,Cebu City,4,8027,7876,4410
335,1572,Douala,Monrovia,5,6668,2174,3730
336,7147,Roseau,Iloilo City,1,6446,9554,5932
337,9500,Kano,Wuhan,5,8311,6160,585
338,3151,Austin,Brazzaville,5,260,4587,9810
339,6176,Ponta Delgada,Oklahoma City,1,8314,1457,7689
340,767,Wichita,Montreal,3,1267,443,2509
341,1857,Cardiff,Dongguan,5,3169,3406,9871
342,5183,Qingdao,Multan,5,6019,3585,4492
343,3089,Asmara,Saipan,5,8586,2029,8877
344,3523,Las Palmas de Gran Canaria,Linz,5,3568,9530,2900
345,3351,Macapá,Pretoria,3,7493,4740,3854
346,6363,Libreville,Dalian,4,896,8540,8323
347,446,Yangon,Srinagar,2,2265,623,5828
348,8354,Basra,Amman,2,6092,2469,1131
349,7464,Belmopan,Ulan Bator,4,5956,6207,6093
350,3130,Omdurman,Cincinnati,4,3058,9237,9116
351,4008,Mexico City,Chiang Mai,2,6774,6084,4348
352,4312,Assis,Lobamba,2,1337,4372,7501
353,940,Luxembourg (city),Apia,3,2880,7363,6531
354,1506,Düsseldorf,Timbuktu,4,3404,2541,4263
355,2655,Concepción,Malang,1,8355,6761,9121
356,5835,Campo Grande,Las Vegas,3,5334,1905,4964
357,7700,Shanghai,Louisville,4,1345,5292,2971
358,7904,Barranquilla,Belgrade,1,9449,9972,898
359,2153,Chicago,Wuhan,2,5499,5533,9674
360,6501,Pristina,Cebu City,4,4296,4612,3517
361,2778,Leipzig,Fortaleza,1,4192,7308,2786
362,4856,Yellowknife,Jeddah,2,3100,4505,6299
363,3890,Harare,Santiago,5,1378,6462,2731
364,6262,Rio Branco,Cologne,1,6138,7397,1298
365,3292,Mecca,Stepanakert,5,7247,1617,1140
366,9409,Pelotas,Asunción,2,9385,8086,1028
367,6473,Surabaya,Nouakchott,2,3591,5057,5818
368,1592,Gaza,Vientiane,1,501,906,5213
369,5688,Frankfurt,Tijuana,5,6101,4924,6365
370,3023,Montevideo,Zagreb,4,8659,2423,1910
371,9135,Quebec City,Vitória,5,9601,7864,3179
372,8188,Saint Petersburg,Christchurch,2,1170,9739,882
373,7207,Louisville,Yaren District,3,7729,2667,2347
374,9066,Whitehorse,South Tarawa,3,455,1120,3847
375,8690,Ouagadougou,New Orleans,5,1849,6227,6905
376,1376,Majuro,Shenyang,4,1957,2968,8358
377,5423,Port Said,Assis,1,5063,5845,7761
378,6467,Praia,Longyearbyen,5,2094,2998,5231
379,650,Ouagadougou,Regina,1,7756,6465,9691
380,904,Sri Jayawardenapura-Kotte,Denpasar,5,5042,1730,3750
381,3691,Darwin,Doha,1,5663,8982,7497
382,7567,Barranquilla,Rabat,4,1179,517,1949
383,1430,El Paso,Bratislava,4,3470,8335,6089
384,7670,Saint-Denis,Fukuoka,4,3175,9086,4267
385,2159,Tampa,Toulouse,4,2366,6600,7313
386,9560,Tallinn,Las Palmas de Gran Canaria,3,1372,7252,7222
387,3022,Kaohsiung,Nukulaelae,1,4322,4728,9088
388,7705,Beijing,San Juan,2,9801,6144,8371
